sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,target_name,cluster
7.0,3.2,4.7,1.4,1,versicolor,2
6.9,3.1,4.9,1.5,1,versicolor,2
6.7,3.0,5.0,1.7,1,versicolor,2
5.8,2.7,5.1,1.9,2,virginica,1
4.9,2.5,4.5,1.7,2,virginica,1
5.7,2.5,5.0,2.0,2,virginica,1
5.8,2.8,5.1,2.4,2,virginica,1
6.0,2.2,5.0,1.5,2,virginica,1
5.6,2.8,4.9,2.0,2,virginica,1
6.3,2.7,4.9,1.8,2,virginica,1
6.2,2.8,4.8,1.8,2,virginica,1
6.1,3.0,4.9,1.8,2,virginica,1
6.3,2.8,5.1,1.5,2,virginica,1
6.0,3.0,4.8,1.8,2,virginica,1
5.8,2.7,5.1,1.9,2,virginica,1
6.3,2.5,5.0,1.9,2,virginica,1
5.9,3.0,5.1,1.8,2,virginica,1
